key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_src.desktop_trans,Desktop Transactions,<p>This table is the target table of CG-CGDE-TTDESKTOP-CLICKSTREAM pipeline.This table is used to capture transactional clickstream data of TurboTax Desktop.</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ck_suppression_overall,Cookie Suppression Overall,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.dt_deceased_flag,Dt Deceased Flag,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.dt_fa_results,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_responsys_turbotax_dynamic_content,Source Responsys Turbotax Dynamic Content,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_responsys_turbotax_convert,Source Responsys Turbotax Convert,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.cg_xpath_lookup,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.sub_clickstream_attributes,ECS clickstream-derived attributes,"<div><p><strong>Attributes Present in this table (as of mid-March, 2021):</strong></p><p><strong>- <u>tax_article_sku_recommended</u>:</strong> ""attribute_value"" column in this case contains all sku_recommended values for which the event had a lower(scope_area) = '%articles%' and for which sku_recommended is not null. Values are parsed out using either colon or pipe delimiter, de-duped, and inserted into this table with a granularity of one row per unique combination of: tax_year/visitor_session_id/sku_recommended value. Other table columns are populated using data from the FIRST event in the session on which that particular sku_recommended value was seen.</p><p>- <strong><u>aam_segment_ids_session:</u></strong> ""attribute_value"" column in this case contains all aam_segment_ids values parsed (using colon or pipe delimiters), de-duped, and re-concatenated together using pipes into a single distinct list per: tax_year, visitor_Session_id, AND auth/pseudonym_id. Most other column values are not populated for this attribute, since they represent ""per-event"" values and are thus not available for rows in which data has been pre-aggregated to this level of session-auth-ty.</p><p>- <strong><u>aam_segment_ids_entry</u></strong>: ""attribute_value"" column in this case contains all aam_segment_ids values from the FIRST, PAGE-VIEW type of event during the session. Row-level granularity is one row per tax_year &amp; visitor_session_id. Values are parsed (using colon or pipe delimiters), de-duped (in case the same ID is passed more than once on that single first page view event) and re-concatenated together using pipes.</p></div>",N/A,,null,<p>Table Titled - yes<br>Table Described - yes<br>Columns Titled - 54%<br>Columns Described - 0%<br></p>,,lpaulsen;cwilliams34,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.helper_visitor_session_auth_mapping,Helper Visitor Session Auth Mapping,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tmp_sub_auth_credit_campaign_global_30_days,Temp Sub Auth Credit Campaign Global 30 Days,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_sessionend_log,Turbo Tax Online SessionEnd Log,<p>This table contains session log events for TTO (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,null,,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_orders,Turbo Tax Online Orders,<p>This table contains order log events for TTO (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ttl_retail_activation,Turbotax Live Retail Activation,<p>This table contains ttl retail activation logs (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,null,,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_taxml_hist,Source Taxml History,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.behavioral_analytics_master_global_prf,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.auth_sku_activity,Auth Sku Activity,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ttl_retail_printfile,Turbotax Live Retail PrintFile,<p>This table contains ttl retail printfile logs (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,null,,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.ttl_retail_revoke,Turbotax Live Retail Revoke,<p>This table contains ttl retail revoke logs (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,null,,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_sessionstart_log,Turbo Tax Online SessionStart Log,<p>This table contains session log events for TTO (Turbo Tax Online). It is ingested in Real-time from Kafka Topic: ctg-businessevent using Intuit's SPP (Stream Processing Platform). It is a source table so it will have duplicate values. . Refer to Design Doc: https://wiki.intuit.com/display/IDataEng/TTO+ORDERS+Target+State for more information</p>,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,amuthusamy1;kcornejo,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_cat_formset,Source Category Formset,<p>General information on formset</p>,N/A,,null,,,kchou;pzhu2,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_cat_form_copy_metadata,Source Cat Form Copy Metadata,<p>Metadata for copy type data in the formset</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_cat_highly_sensitive_form_field_metadata,,<p>Metadata for highly sensitive field type data</p>,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_tto_sessionend_log,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.hist_ttl_retail_revoke,Hist Total Retail Revoke,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.hist_ttl_retail_printfile,Hist Total Retail Printfile,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.hist_ttl_retail_upgrade,Hist Total Retail Upgrade,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.hist_ttl_retail_activation,Hist Total Retail Activation,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.axc_ca_helpful_votes_all,Axc Company Helpful Votes All,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_import_profile,Mc Import Profile,"<p>TurboTax Desktop transactional information about the source of the data such as what app it comes from, attempts, machine_id, etc.</p>",N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tto_abandonment_src,Tto Abandonment Sourc,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.dim_tax_year,Dim Tax Year,"<p>Use <a data-oid=""584342"" data-otype=""table"" href=""https://datacatalog.intuit.com/table/584342/"">tax_dm.dim_tax_year (Dim Tax Year)</a> instead.</p>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.auth_session_global,Auth Session Global,"<div><p>ECS Dependency Graph: <a href=""https://github.intuit.com/DATA2/adobe-feed-config/blob/master/scripts/dep.jpg"">https://github.intuit.com/DATA2/adobe-feed-config/blob/master/scripts/dep.jpg</a></p><p>Wiki: <a href=""https://wiki.intuit.com/display/IDataEng/auth_session_global"">https://wiki.intuit.com/display/IDataEng/auth_session_global</a></p></div>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.selected_question_vw,Selected Question View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_taxml_historical,Source Taxml Historical,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_ttl_retail_revoke,Source Total Retail Revoke,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_ttl_retail_printfile,Source Total Retail Printfile,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_ttl_retail_upgrade,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.selected_topic_vw,Selected Topic View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.extrahelp_buttonclicked_vw,Extra Help Button Clicked View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.aca_screen_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.tke_sharedlib_vw,Tke Shared Lib View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.fuego_service_failure_vw,Fuego Service Failure View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.fuego_usage_topic_vw,Fuego Usage Topic View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.print_file_vw,Print File View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_return_session_profile,MC Return Session Profile,<p>TurboTax Desktop transactional information about the session for the given return_id &amp; machine_id</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.lkp_item_alias_rank_vw,Lookup Item Alias Rank View,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.lkp_item_alias_rank,Lookup Item Alias Rank,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml_ytd,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.agg_taxml,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_tto_orders,Source Tto Orders,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_tto_sessionstart_log,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.fact_taxml,Fact Taxml,,N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.mc_return_efiled_profile,MC Return eFiled Profile,<p>TurboTax Desktop Transactional information about efiled returns.</p>,N/A,,null,,,achandeck,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_src.src_braze_turbotax_pushnotification_send,Source Braze Turbotax Push Notification Send,"<p>This event occurs when Braze processes a push message for a user, communicating this to Apple Push Notification Service or Fire Cloud Messaging. This does not mean the push was delivered to the device, just that a message was sent.</p>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,avasquezlam;gnarayana,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_src.src_braze_turbotax_email_markasspam,Source Braze Turbotax Email Mark As Spam,<p>This event occurs when the end-user hits the “spam” button on the email. Note that this does not represent the fact the email went into the spam folder as Braze does not track this.</p>,N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,avasquezlam;gnarayana,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
