key,title,description,tabdefaultclassification,classification_status,tag,documentation status,steward:groupprofile,steward:user,processinglocation,index name,is_primary_key_manual,processingcapability,gdpr,is_cdc,coldefaultclassification,under retention,iac classification,intuit_classification,processing3rdparty,table_documentation,processingcategory
tax_rpt.postcard_schedules_taxml_analytics_master_snapshot,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_ytd,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_ytd_2019,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_ytd_bkp,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_ytd_hist,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.postcard_schedules_taxml_analytics_master_ytd_snapshot,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.product_analytics_master,Product Analytics Master,"<div><p><br></p><p>This is the target state PAM table. Unique Auth ID per Tax Year table with several TTO/product related dimensions. Source of truth for start-to-complete (S2C) funnel conversion.</p><p>At that time, data consumers who are using the older version of <a data-oid=""451259"" data-otype=""table"" href=""https://datacatalog.intuit.com/table/451259/"">tax_rpt.product_analytics_master_tax_rpt</a> can change to using this table. Once people have mad the necessary changes we will drop <a data-oid=""451259"" data-otype=""table"" href=""https://datacatalog.intuit.com/table/451259/"">tax_rpt.product_analytics_master_tax_rpt</a></p><p>Please direct any questions to #bu-data-target-state-support</p></div>",N/A,,"[""compliance.ccpa"", ""product.turbo_tax""]",,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.product_analytics_master_parity,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.product_analytics_master_tax_rpt,,"<div><p><br></p><p>This is the PAM table provided in the interim, during target state migration. </p><p><strong>This table was replaced by </strong><a data-oid=""575005"" data-otype=""table"" href=""https://datacatalog.intuit.com/table/575005/"">tax_rpt.product_analytics_master (Product Analytics Master)<strong>tax_rpt.product_analytics_master </strong>(Product Analytics Master)</a> as part of the Business Data Target State migration. This new table is currently under development.</p><p>When the new table is ready, this table will be marked as deprecated. After users migrate their work to the new table, this table will be dropped.</p><p>Please direct any questions to #bu-data-target-state-support/ <a data-oid=""2104"" data-otype=""user"" href=""https://datacatalog.intuit.com/user/2104/"">Daniel Gouin (Sr. Business Analyst)</a> or <a data-oid=""32"" data-otype=""user"" href=""https://datacatalog.intuit.com/user/32/"">Denise McInerney (Data Architect/Principal SE)</a></p></div>",N/A,,null,<p>Table Titled - no<br>Table Described - no<br>Columns Titled - 0%<br>Columns Described - 0%<br></p>,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,INCOMPLETE,
tax_rpt.product_analytics_master_ytd,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
tax_rpt.product_analytics_master_ytd_vw,,,N/A,,null,,,,,N/A,N/A,N/A,,N/A,,,N/A,N/A,,,
